,categories,customer_rating,duration,id,level,marker,name,name_suffix,original_name,parent_ids,perex,quadkey,rating,rating_local,star_rating,star_rating_unofficial,thumbnail_url,url,lat,lng,sleeping,sightseeing,relaxing,discovering,going_out,eating,doing_sports,shopping,hiking,traveling,playing,south,west,north,east
10,['discovering'],,14400,poi:11957,poi,discovering:museum,American Museum of Natural History,"New York City, USA",American Museum of Natural History,"['poi:28012236', 'poi:19917408', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",This museum is one of the biggest museums in the world. It was co-founded by Theodore Roosevelt Sr. (father of the 26th American president)…,032010110130232323123,2.5994484954391,1.875853206816822,,,https://media-cdn.sygictraveldata.com/media/poi:11957,https://go.sygic.com/travel/place?id=poi:11957,40.7811534,-73.9740472,0,0,0,1,0,0,0,0,0,0,0,40.7800317,-73.9757932,40.782152,-73.9726349
11,['sightseeing'],,1800,poi:11929,poi,destination:borough,Little Italy,"New York City, USA",Little Italy,"['region:1981637', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","This part of New York got its name from its immigrant population, mainly consisting of Italian Americans.",032010110132222120221,2.5133652699709,1.057361026270346,,,https://media-cdn.sygictraveldata.com/media/poi:11929,https://go.sygic.com/travel/place?id=poi:11929,40.7193879,-73.99822,0,1,0,0,0,0,0,0,0,0,0,,,,
12,"['sightseeing', 'discovering']",,1800,poi:44569,poi,sightseeing:architecture:modern,One World Trade Center,"New York City, USA",One World Trade Center,"['poi:20893832', 'poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",An impressive structure built next to the 9/11 Memorial to house the new World Trade Center.,032010110301111001223,2.4917550219362,1.3484906744298273,,,https://media-cdn.sygictraveldata.com/media/poi:44569,https://go.sygic.com/travel/place?id=poi:44569,40.7130034,-74.0131874,0,1,0,1,0,0,0,0,0,0,0,40.712627,-74.0136829,40.7133805,-74.0126901
13,['sightseeing'],,5400,poi:11937,poi,sightseeing:architecture:modern,New York Public Library,"New York City, USA",New York Public Library,"['poi:32108808', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The largest library in New York and the second largest one in the US (the first one being the Library of Congress).,032010110132023131130,2.4450990583768,1.0433773019405155,,,https://media-cdn.sygictraveldata.com/media/poi:11937,https://go.sygic.com/travel/place?id=poi:11937,40.7531921,-73.9822412,0,1,0,0,0,0,0,0,0,0,0,40.7525526,-73.9830092,40.7538369,-73.9814882
14,['sightseeing'],,1800,poi:20624,poi,other:place_of_worship:church:cathedral,St. Patrick's Cathedral,"New York City, USA",St. Patrick's Cathedral,"['poi:28039457', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",A Neo Gothic Roman Catholic Cathedral which also functions as the seat of the Archbishop of the Roman Catholic Archdiocese of New York.,032010110132030302003,2.3387094005563,1.0637625501406676,,,https://media-cdn.sygictraveldata.com/media/poi:20624,https://go.sygic.com/travel/place?id=poi:20624,40.758515,-73.9761777,0,1,0,0,0,0,0,0,0,0,0,40.7581913,-73.9768426,40.7588616,-73.975508
15,['sightseeing'],,1800,poi:18156,poi,sightseeing:architecture,Wall Street,"New York City, USA",Wall Street,"['region:46071', 'city:186', 'region:106', 'country:43']",Wall Street is nowadays a synonym for American financial markets. It is best known due to the New York Stock Exchange building which is…,032010110301111230133,2.3204545337839,1.2594856777320058,,,https://media-cdn.sygictraveldata.com/media/poi:18156,https://go.sygic.com/travel/place?id=poi:18156,40.7072382,-74.0108478,0,1,0,0,0,0,0,0,0,0,0,,,,
16,['sightseeing'],,900,poi:11981,poi,sightseeing:monument,Strawberry Fields,"New York City, USA",Strawberry fields,"['poi:11873', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",Strawberry Fields is a memorial dedicated to the famous British singer and songwriter – John Lennon.,032010110132010301201,2.0068266320461,0.9898842928759688,,,https://media-cdn.sygictraveldata.com/media/poi:11981,https://go.sygic.com/travel/place?id=poi:11981,40.775751,-73.9748174,0,1,0,0,0,0,0,0,0,0,0,,,,
17,"['eating', 'shopping', 'sightseeing']",,3600,poi:12008,poi,shopping:centre:mall,Chelsea Market,"New York City, USA",Chelsea Market,"['poi:26179934', 'poi:28018843', 'poi:28001958', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The market is located in what was once a biscuit factory belonging to the National Biscuit Company.,032010110123311313010,1.9959846338374,0.878493551752056,,,https://media-cdn.sygictraveldata.com/media/poi:12008,https://go.sygic.com/travel/place?id=poi:12008,40.7420512,-74.0048973,0,1,0,0,0,1,0,1,0,0,0,,,,
18,['discovering'],,14400,poi:11876,poi,discovering:museum:art,The Metropolitan Museum of Art,"New York City, USA",The Metropolitan Museum of Art,"['poi:11873', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",One of the most visited museums in the world and the largest one in the US (often nicknamed as the “Met”) was founded in 1870.,032010110132011103011,1.9890698322643,0.9863711272104257,,,https://media-cdn.sygictraveldata.com/media/poi:11876,https://go.sygic.com/travel/place?id=poi:11876,40.779426,-73.9634347,0,0,0,1,0,0,0,0,0,0,0,40.7778675,-73.9651394,40.7809012,-73.9617008
19,['sightseeing'],,5400,poi:24630,poi,sightseeing:skyscraper,Top of the Rock,"New York City, USA",Top of the Rock,"['poi:11877', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","The best-known observation deck in New York. It's located at the top of the Rockefeller Centre, one of the New York’s best-known skyscrapers.",032010110132030201312,1.9371747533005,0.9498492025490595,,,https://media-cdn.sygictraveldata.com/media/poi:24630,https://go.sygic.com/travel/place?id=poi:24630,40.759043,-73.9794054,0,1,0,0,0,0,0,0,0,0,0,,,,
20,"['hiking', 'relaxing', 'sightseeing']",,5400,poi:12003,poi,relaxing:park,Battery Park,"New York City, USA",Battery Park,"['poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","This park, located at the southernmost tip of Manhattan, is a park worth visiting for many reasons.",032010110301112131033,1.9273431252742,1.0430416345019182,,,https://media-cdn.sygictraveldata.com/media/poi:12003,https://go.sygic.com/travel/place?id=poi:12003,40.7030931,-74.0156279,0,1,1,0,0,0,0,0,1,0,0,40.7012484,-74.0175274,40.7046458,-74.0139135
21,['sightseeing'],,900,poi:11875,poi,sightseeing:architecture:modern,Chrysler Building,"New York City, USA",Chrysler Building,"['poi:28039457', 'poi:28001853', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",An Art Deco skyscraper and one of the tallest skyscrapers in New York City.,032010110132032122330,1.8721935039425,0.8723463067987215,,,https://media-cdn.sygictraveldata.com/media/poi:11875,https://go.sygic.com/travel/place?id=poi:11875,40.7516182,-73.9753613,0,1,0,0,0,0,0,0,0,0,0,40.7512604,-73.9758502,40.7519828,-73.9748276
22,"['sightseeing', 'relaxing']",,3600,poi:57612,poi,hiking:park:city,High Line,"New York City, USA",The High Line,"['region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",This park is situated on the old railway and it is undoubtedly one of the most unique structures in New York.,032010110123133333002,1.8401166063388,1.061297842604386,,,https://media-cdn.sygictraveldata.com/media/poi:57612,https://go.sygic.com/travel/place?id=poi:57612,40.748131,-74.0052036,0,1,1,0,0,0,0,0,0,0,0,40.7394351,-74.0083229,40.7564613,-74.0008252
23,['traveling'],,1800,poi:51422,poi,traveling:airport:international,John F. Kennedy International Airport,"New York City, USA",John F. Kennedy International Airport,"['region:24620', 'city:186', 'region:106', 'country:43', 'continent:6']",JFK Airport is one of the busiest airports in the world and the busiest airport in terms of passenger traffic in the United States.,032010111202100002002,1.7410569477224,8.054927912767134,,,https://media-cdn.sygictraveldata.com/media/poi:51422,https://go.sygic.com/travel/place?id=poi:51422,40.646083,-73.7841757,0,0,0,0,0,0,0,0,0,1,0,40.6210508,-73.8232337,40.6647615,-73.7483914
24,"['sightseeing', 'doing_sports', 'going_out']",,9000,poi:11885,poi,sports:field:basketball,Madison Square Garden,"New York City, USA",Madison Square Garden,"['poi:32975330', 'poi:51041', 'poi:28018843', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",Every sports fan should definitely visit the MSG - one of the most famous sports arenas ever built.,032010110132022311320,1.7293499914997,0.7239499741106261,,,https://media-cdn.sygictraveldata.com/media/poi:11885,https://go.sygic.com/travel/place?id=poi:11885,40.7505156,-73.9934742,0,1,0,0,1,0,1,0,0,0,0,40.74993,-73.9942091,40.7510813,-73.9927103
25,"['discovering', 'sightseeing']",,900,poi:50788,poi,sightseeing:art:artwork,Love,"New York City, USA",Love,"['poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The pop art steel statue by Robert Indiana is located in the heart of Manhattan in New York.,032010110132030010332,1.7033252914015,0.7747579307071488,,,https://media-cdn.sygictraveldata.com/media/poi:50788,https://go.sygic.com/travel/place?id=poi:50788,40.7628768,-73.9780253,0,1,0,1,0,0,0,0,0,0,0,,,,
26,[],,1800,poi:2325416,poi,other:cemetery,St. Paul's Churchyard,"New York City, USA",St. Paul's Churchyard,"['poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",,032010110301111031132,1.6773802712909,0.9077664671668787,,,,https://go.sygic.com/travel/place?id=poi:2325416,40.711483,-74.0095785,0,0,0,0,0,0,0,0,0,0,0,40.7110189,-74.010286,40.7119578,-74.0088376
27,"['going_out', 'sightseeing']",,1800,poi:11872,poi,discovering:theatre,Broadway,"New York City, USA",Broadway,"['city:10716', 'region:1981637', 'region:46071', 'city:186', 'region:106', 'country:43']",The 21 km long street in Manhattan is best known as the location of many New York theatres.,032010110132021130212,1.6413474668149,0.7334185241933854,,,https://media-cdn.sygictraveldata.com/media/poi:11872,https://go.sygic.com/travel/place?id=poi:11872,40.7611546,-73.9841866,0,1,0,0,1,0,0,0,0,0,0,,,,
28,"['sightseeing', 'relaxing', 'playing']",,1800,poi:36765,poi,playing:carousel,Central Park Carousel,"New York City, USA",Central Park Carousel,"['poi:11873', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The present-day carousel is actually the fourth one occupying this space in Central Park.,032010110132012120112,1.5437448478066,0.7137629384098501,,,https://media-cdn.sygictraveldata.com/media/poi:36765,https://go.sygic.com/travel/place?id=poi:36765,40.7699346,-73.9752497,0,1,1,0,0,0,0,0,0,0,1,40.7698433,-73.9753788,40.7700419,-73.9751163
29,"['shopping', 'sightseeing']",,7200,poi:12024,poi,shopping:centre:department_store,Macy's,"New York City, USA",Macy's,"['poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",One of the world’s largest department stores was built on Herald Square in 1901. It is a very busy place with many visitors every day.,032010110132023210310,1.537213602137,0.6435167854625549,,,https://media-cdn.sygictraveldata.com/media/poi:12024,https://go.sygic.com/travel/place?id=poi:12024,40.7508275,-73.9891305,0,1,0,0,0,0,0,1,0,0,0,40.7501528,-73.9903783,40.7515337,-73.9879581
30,"['sightseeing', 'relaxing']",,2700,poi:34982,poi,hiking:park:city,Washington Square Park,"New York City, USA",Washington Square Park,"['poi:34984', 'poi:32867515', 'poi:28007489', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","Washington Square Park is one of the most well-known parks in New York City, a place of respite as well as a meeting place and a site of…",032010110132202322302,1.5345726460027,0.6110739739400384,,,https://media-cdn.sygictraveldata.com/media/poi:34982,https://go.sygic.com/travel/place?id=poi:34982,40.7308944,-73.9975887,0,1,1,0,0,0,0,0,0,0,0,40.7296795,-73.9994369,40.7321126,-73.9957345
31,['sightseeing'],,1800,poi:11890,poi,other:place_of_worship:church,Trinity Church,"New York City, USA",Trinity Church,"['poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",A Gothic Revival building located in Manhattan and an active parish church.,032010110301111203313,1.5236917050654,0.8245931228785877,,,https://media-cdn.sygictraveldata.com/media/poi:11890,https://go.sygic.com/travel/place?id=poi:11890,40.7080237,-74.0122144,0,1,0,0,0,0,0,0,0,0,0,40.7077833,-74.0126206,40.7083189,-74.011798
32,['sightseeing'],,1800,poi:11996,poi,sightseeing:architecture:modern,New York City Hall,"New York City, USA",New York City Hall,"['poi:58632', 'poi:32279604', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",This French Renaissance Revival building in Manhattan is the oldest city hall in the USA. ,032010110301111112013,1.4769138573206,0.8401445454631558,,,https://media-cdn.sygictraveldata.com/media/poi:11996,https://go.sygic.com/travel/place?id=poi:11996,40.7127486,-74.0059907,0,1,0,0,0,0,0,0,0,0,0,40.7124463,-74.0064378,40.7130194,-74.0055704
33,"['sightseeing', 'shopping']",,1800,poi:24635,poi,sightseeing:architecture:modern,Apple,"New York City, USA",Apple,"['poi:28039457', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The iconic glass cube located in Manhattan is one of the best known Apple Stores.,032010110132030110100,1.4560209345382,0.6622714827306599,,,https://media-cdn.sygictraveldata.com/media/poi:24635,https://go.sygic.com/travel/place?id=poi:24635,40.7638414,-73.9729719,0,1,0,0,0,0,0,1,0,0,0,40.7637781,-73.973056,40.7639048,-73.9728877
34,['sightseeing'],,900,poi:35003,poi,sightseeing:art:artwork,Bethesda Fountain,"New York City, USA",Bethesda Fountain,"['poi:11873', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The existence of this beautiful fountain dates back to the end of the 19th century (the construction was finished in 1864).,032010110132011202222,1.4214259668357,0.7048789893705447,,,https://media-cdn.sygictraveldata.com/media/poi:35003,https://go.sygic.com/travel/place?id=poi:35003,40.7743032,-73.9708368,0,1,0,0,0,0,0,0,0,0,0,40.7741764,-73.9710036,40.7744308,-73.9706682
35,"['hiking', 'sightseeing', 'relaxing']",,3600,poi:11894,poi,hiking:park:city,Bryant Park,"New York City, USA",Bryant Park,"['poi:32108808', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",This beautiful park is popular among the locals as well as the tourists.,032010110132023112330,1.3958705258699,0.584346972002443,,,https://media-cdn.sygictraveldata.com/media/poi:11894,https://go.sygic.com/travel/place?id=poi:11894,40.753758,-73.9835728,0,1,1,0,0,0,0,0,1,0,0,40.7528357,-73.9848049,40.7546859,-73.9823185
36,"['shopping', 'relaxing', 'sightseeing', 'hiking']",,1800,poi:34988,poi,hiking:park:city,Union Square Park,"New York City, USA",Union Square Park,"['poi:32280873', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",This park serves as an important place for various gatherings and public events.,032010110132203021332,1.3168634805827,0.5585473463074536,,,https://media-cdn.sygictraveldata.com/media/poi:34988,https://go.sygic.com/travel/place?id=poi:34988,40.7358514,-73.9904029,0,1,1,0,0,0,0,1,1,0,0,40.734555,-73.9916091,40.7370052,-73.9892723
37,"['hiking', 'sightseeing', 'relaxing', 'doing_sports']",,7200,poi:34990,poi,hiking:park:city,Brooklyn Bridge Park,"New York City, USA",Brooklyn Bridge Park,"['city:186', 'region:106', 'country:43', 'continent:6']","Brooklyn Bridge Park is a unique example of urban design. Covering 1.3 miles of land next to the Brooklyn river, this green place of rest…",032010110310003012013,1.3163687162576,0.8014612874167092,,,https://media-cdn.sygictraveldata.com/media/poi:34990,https://go.sygic.com/travel/place?id=poi:34990,40.7043394,-73.9896522,0,1,1,0,0,0,1,0,1,0,0,40.691881,-74.0039687,40.7051361,-73.9864564
38,['sightseeing'],,7200,poi:11984,poi,sightseeing:architecture:modern,United Nations Headquarters,"New York City, USA",United Nations Headquarters,"['poi:28001853', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The main headquarters of the United Nations is located on Manhattan and was built in 1952.,032010110132033212231,1.2850061181909,0.5602587688716738,,,https://media-cdn.sygictraveldata.com/media/poi:11984,https://go.sygic.com/travel/place?id=poi:11984,40.7495508,-73.9675892,0,1,0,0,0,0,0,0,0,0,0,40.7485253,-73.9684649,40.7506761,-73.9666373
39,"['shopping', 'playing']",,1800,poi:34996,poi,shopping:deli:candy,M&M'S World,"New York City, USA",M&M'S World,"['poi:20231897', 'poi:32280039', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","If you are an M&M’s fan, this place is a must see. The very first one was opened in Las Vegas in 1997.",032010110132021132203,1.2849340094785,0.5153684396757132,,,https://media-cdn.sygictraveldata.com/media/poi:34996,https://go.sygic.com/travel/place?id=poi:34996,40.7600914,-73.9844166,0,0,0,0,0,0,0,1,0,0,1,,,,
40,"['discovering', 'eating', 'sightseeing', 'going_out']",,3600,poi:36681,poi,destination:borough,Greenwich Village,"New York City, USA",Greenwich Village,"['poi:28037162', 'poi:28007489', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","The iconic neighbourhood of New York City, which was once known as a bohemian haven and was also home to many artists, is now one of the…",032010110132202202112,1.2682450088977,0.5684342218351138,,,https://media-cdn.sygictraveldata.com/media/poi:36681,https://go.sygic.com/travel/place?id=poi:36681,40.7335843,-74.0028172,0,1,0,1,1,1,0,0,0,0,0,,,,
41,"['shopping', 'sightseeing', 'traveling']",,1800,poi:36776,poi,shopping:centre:mall,Staten Island Ferry Whitehall Terminal,"New York City, USA",Staten Island Ferry Whitehall Terminal,"['poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","Embark on your journey to Staten Island from this ferry. It operates daily, carrying approximately 70,000 passengers every day.",032010110301113201032,1.2348925870993,0.6502211858808643,,,https://media-cdn.sygictraveldata.com/media/poi:36776,https://go.sygic.com/travel/place?id=poi:36776,40.7009503,-74.0130573,0,1,0,0,0,0,0,1,0,1,0,40.7005115,-74.0135685,40.7014526,-74.0123569
42,['sightseeing'],,900,poi:11879,poi,sightseeing:building,New York Stock Exchange,"New York City, USA",New York Stock Exchange,"['poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The New York Stock Exchange is the largest stock exchange in the world.,032010110301111230303,1.2273483431631,0.6642177021665162,,,https://media-cdn.sygictraveldata.com/media/poi:11879,https://go.sygic.com/travel/place?id=poi:11879,40.7070239,-74.0112032,0,1,0,0,0,0,0,0,0,0,0,40.7066567,-74.0115876,40.7073927,-74.0108331
43,"['sightseeing', 'going_out', 'doing_sports']",,9000,poi:22462,poi,sightseeing:architecture:modern,Radio City Music Hall,"New York City, USA",Radio City Music Hall,"['poi:11877', 'poi:32867538', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",American dream coming true - this is how the process of proposing and constructing this building could be described. John D.,032010110132030023333,1.1393177588712,0.4967390862212109,,,https://media-cdn.sygictraveldata.com/media/poi:22462,https://go.sygic.com/travel/place?id=poi:22462,40.7598176,-73.9792743,0,1,0,0,1,0,1,0,0,0,0,40.7594241,-73.979815,40.760211,-73.9787344
44,['sightseeing'],,900,poi:35004,poi,sightseeing:art:artwork,Alice in Wonderland Statue,"New York City, USA",Alice in Wonderland Statue,"['poi:11873', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","This lovely statue, which was installed in 1959 and made by José de Creeft, depicts several characters from a classic children's book by…",032010110132011213021,1.0793747057476,0.5352572483484398,,,https://media-cdn.sygictraveldata.com/media/poi:35004,https://go.sygic.com/travel/place?id=poi:35004,40.7750392,-73.9665308,0,1,0,0,0,0,0,0,0,0,0,,,,
45,"['hiking', 'sightseeing', 'relaxing']",,2700,poi:18158,poi,hiking:park:city,Madison Square Park,"New York City, USA",Madison Square Park,"['poi:14713', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",A nearly 7-acre park full of greenery where you can rest after (or during) a long day of sightseeing.,032010110132201211320,1.0569960134213,0.4209007348349381,,,https://media-cdn.sygictraveldata.com/media/poi:18158,https://go.sygic.com/travel/place?id=poi:18158,40.7422125,-73.9879978,0,1,1,0,0,0,0,0,1,0,0,40.7410017,-73.9890516,40.7433794,-73.9867047
46,"['sightseeing', 'discovering', 'eating']",,14400,poi:11901,poi,sightseeing:architecture:modern,MoMA (Museum Of Modern Art),"New York City, USA",MoMA (Museum Of Modern Art),"['poi:32867538', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","This museum, stretching over an area of more than 630 000 square feet in Midtown Manhattan, is one of the most famous places where to enjoy…",032010110132030031003,1.0491683248325,0.514435620732713,,,https://media-cdn.sygictraveldata.com/media/poi:11901,https://go.sygic.com/travel/place?id=poi:11901,40.7616052,-73.9775942,0,1,0,1,0,1,0,0,0,0,0,40.7612683,-73.9781236,40.7619557,-73.9769666
